"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
20.03.2020,Ярославская область,1,0,0,0,0,0
21.03.2020,Архангельская область,1,0,0,0,0,0
21.03.2020,Белгородская область,1,0,0,0,0,0
21.03.2020,Воронежская область,2,0,0,0,0,0
21.03.2020,Забайкальский край,1,0,0,0,0,0
21.03.2020,Ивановская область,1,0,0,0,0,0
21.03.2020,Кабардино-Балкария,2,0,0,0,2,0
21.03.2020,Калининградская область,7,0,0,0,2,0
21.03.2020,Калужская область,1,0,0,0,0,0
21.03.2020,Кемеровская область,2,0,0,0,0,0
21.03.2020,Кировская область,5,0,0,0,0,0
21.03.2020,Коми,1,0,0,0,0,0
21.03.2020,Краснодарский край,5,0,0,0,2,0
21.03.2020,Красноярский край,5,0,0,0,1,0
21.03.2020,Крым,1,0,0,0,1,0
21.03.2020,Курганская область,1,0,0,0,1,0
21.03.2020,Ленинградская область,1,0,0,0,0,0
21.03.2020,Липецкая область,3,0,0,0,0,0
21.03.2020,Москва,137,0,0,0,6,0
21.03.2020,Московская область,35,0,0,0,17,0
21.03.2020,Мурманская область,1,0,0,0,0,0
21.03.2020,Нижегородская область,7,0,0,0,4,0
21.03.2020,Новосибирская область,4,0,0,0,0,0
21.03.2020,Оренбургская область,1,0,0,0,0,0
21.03.2020,Пензенская область,1,0,0,0,0,0
21.03.2020,Пермский край,3,0,0,0,0,0
21.03.2020,Рязанская область,2,0,0,0,1,0
21.03.2020,Самарская область,9,0,0,0,0,0
21.03.2020,Санкт-Петербург,16,0,0,0,2,0
21.03.2020,Саратовская область,1,0,0,0,0,0
21.03.2020,Саха (Якутия),7,0,0,0,0,0
21.03.2020,Свердловская область,9,0,0,0,3,0
21.03.2020,Ставропольский край,1,0,0,0,1,0
21.03.2020,Тамбовская область,3,0,0,0,0,0
21.03.2020,Татарстан,6,0,0,0,5,0
21.03.2020,Тверская область,3,0,0,0,0,0
21.03.2020,Томская область,1,0,0,0,0,0
21.03.2020,Тульская область,5,0,0,0,2,0
21.03.2020,Тюменская область,3,0,0,0,0,0
21.03.2020,Ульяновская область,1,0,0,0,0,0
21.03.2020,Хабаровский край,4,0,0,0,1,0
21.03.2020,Хакасия,1,0,0,0,0,0
21.03.2020,ХМАО – Югра,2,0,0,0,1,0
21.03.2020,Челябинская область,1,0,0,0,1,0
21.03.2020,Чувашия,1,0,0,0,0,0
21.03.2020,Ярославская область,1,0,0,0,0,0
22.03.2020,Архангельская область,2,0,0,0,1,0
22.03.2020,Белгородская область,1,0,0,0,0,0
22.03.2020,Брянская область,1,0,0,0,1,0
22.03.2020,Воронежская область,2,0,0,0,0,0
22.03.2020,Забайкальский край,1,0,0,0,0,0
22.03.2020,Ивановская область,1,0,0,0,0,0
22.03.2020,Кабардино-Балкария,2,0,0,0,0,0
22.03.2020,Калининградская область,7,0,0,0,0,0
22.03.2020,Калужская область,1,0,0,0,0,0
22.03.2020,Кемеровская область,2,0,0,0,0,0
22.03.2020,Кировская область,7,0,0,0,2,0
22.03.2020,Коми,1,0,0,0,0,0
22.03.2020,Краснодарский край,5,0,0,0,0,0
22.03.2020,Красноярский край,5,0,0,0,0,0
22.03.2020,Крым,1,0,0,0,0,0
22.03.2020,Курганская область,1,0,0,0,0,0
22.03.2020,Ленинградская область,1,0,0,0,0,0
22.03.2020,Липецкая область,3,0,0,0,0,0
22.03.2020,Москва,191,0,0,0,54,0
22.03.2020,Московская область,35,0,0,0,0,0
22.03.2020,Мурманская область,1,0,0,0,0,0
22.03.2020,Нижегородская область,7,0,0,0,0,0
22.03.2020,Новгородская область,1,0,0,0,1,0
22.03.2020,Новосибирская область,4,0,0,0,0,0
22.03.2020,Оренбургская область,1,0,0,0,0,0
22.03.2020,Пензенская область,1,0,0,0,0,0
22.03.2020,Пермский край,3,0,0,0,0,0
22.03.2020,Рязанская область,2,0,0,0,0,0
22.03.2020,Самарская область,9,0,0,0,0,0
22.03.2020,Санкт-Петербург,16,0,0,0,0,0
22.03.2020,Саратовская область,1,0,0,0,0,0
22.03.2020,Саха (Якутия),7,0,0,0,0,0
22.03.2020,Свердловская область,9,0,0,0,0,0
22.03.2020,Ставропольский край,1,0,0,0,0,0
22.03.2020,Тамбовская область,3,0,0,0,0,0
22.03.2020,Татарстан,6,0,0,0,0,0
22.03.2020,Тверская область,3,0,0,0,0,0
22.03.2020,Томская область,1,0,0,0,0,0
22.03.2020,Тульская область,5,0,0,0,0,0
22.03.2020,Тюменская область,3,0,0,0,0,0
22.03.2020,Удмуртия,2,0,0,0,2,0
22.03.2020,Ульяновская область,1,0,0,0,0,0
22.03.2020,Хабаровский край,4,0,0,0,0,0
22.03.2020,Хакасия,1,0,0,0,0,0
22.03.2020,ХМАО – Югра,2,0,0,0,0,0
22.03.2020,Челябинская область,1,0,0,0,0,0
22.03.2020,Чувашия,1,0,0,0,0,0
22.03.2020,Ярославская область,1,0,0,0,0,0
23.03.2020,Архангельская область,2,0,0,0,0,0
23.03.2020,Белгородская область,1,0,0,0,0,0
23.03.2020,Брянская область,1,0,0,0,0,0
23.03.2020,Воронежская область,2,0,0,0,0,0
23.03.2020,Забайкальский край,1,0,0,0,0,0
23.03.2020,Ивановская область,1,0,0,0,0,0
23.03.2020,Кабардино-Балкария,2,0,0,0,0,0
23.03.2020,Калининградская область,7,0,0,0,0,0
23.03.2020,Калужская область,1,0,0,0,0,0
23.03.2020,Кемеровская область,2,0,0,0,0,0
23.03.2020,Кировская область,7,0,0,0,0,0
23.03.2020,Коми,1,0,0,0,0,0
23.03.2020,Краснодарский край,5,0,0,0,0,0
23.03.2020,Красноярский край,5,0,0,0,0,0
23.03.2020,Крым,1,0,0,0,0,0
23.03.2020,Курганская область,1,0,0,0,0,0
23.03.2020,Ленинградская область,1,0,0,0,0,0
23.03.2020,Липецкая область,3,0,0,0,0,0
23.03.2020,Москва,262,0,0,0,71,0
23.03.2020,Московская область,35,0,0,0,0,0
23.03.2020,Мурманская область,1,0,0,0,0,0
23.03.2020,Нижегородская область,7,0,0,0,0,0
23.03.2020,Новгородская область,1,0,0,0,0,0
23.03.2020,Новосибирская область,4,0,0,0,0,0
23.03.2020,Оренбургская область,1,0,0,0,0,0
23.03.2020,Пензенская область,1,0,0,0,0,0
23.03.2020,Пермский край,3,0,0,0,0,0
23.03.2020,Рязанская область,2,0,0,0,0,0
23.03.2020,Самарская область,9,0,0,0,0,0
23.03.2020,Санкт-Петербург,16,0,0,0,0,0
23.03.2020,Саратовская область,1,0,0,0,0,0
23.03.2020,Саха (Якутия),7,0,0,0,0,0
23.03.2020,Свердловская область,9,0,0,0,0,0
23.03.2020,Ставропольский край,1,0,0,0,0,0
23.03.2020,Тамбовская область,3,0,0,0,0,0
23.03.2020,Татарстан,6,0,0,0,0,0
23.03.2020,Тверская область,3,0,0,0,0,0
23.03.2020,Томская область,1,0,0,0,0,0
23.03.2020,Тульская область,5,0,0,0,0,0
23.03.2020,Тюменская область,3,0,0,0,0,0
23.03.2020,Удмуртия,2,0,0,0,0,0
23.03.2020,Ульяновская область,1,0,0,0,0,0
23.03.2020,Хабаровский край,4,0,0,0,0,0
23.03.2020,Хакасия,1,0,0,0,0,0
23.03.2020,ХМАО – Югра,2,0,0,0,0,0
23.03.2020,Челябинская область,1,0,0,0,0,0
23.03.2020,Чувашия,1,0,0,0,0,0
23.03.2020,Ярославская область,1,0,0,0,0,0
24.03.2020,Архангельская область,2,0,0,0,0,0
24.03.2020,Башкортостан,3,0,0,0,3,0
24.03.2020,Белгородская область,1,0,0,0,0,0
24.03.2020,Брянская область,1,0,0,0,0,0
24.03.2020,Волгоградская область,1,0,0,0,1,0
24.03.2020,Воронежская область,6,0,0,0,4,0
24.03.2020,Забайкальский край,1,0,0,0,0,0
24.03.2020,Ивановская область,1,0,0,0,0,0
24.03.2020,Кабардино-Балкария,2,0,0,0,0,0
24.03.2020,Калининградская область,7,0,0,0,0,0
24.03.2020,Калужская область,2,0,0,0,1,0
24.03.2020,Кемеровская область,2,0,0,0,0,0
24.03.2020,Кировская область,7,0,0,0,0,0
24.03.2020,Коми,1,0,0,0,0,0
24.03.2020,Краснодарский край,5,0,0,0,0,0
24.03.2020,Красноярский край,5,0,0,0,0,0
24.03.2020,Крым,1,0,0,0,0,0
24.03.2020,Курганская область,1,0,0,0,0,0
24.03.2020,Ленинградская область,3,0,0,0,2,0
24.03.2020,Липецкая область,5,0,0,0,2,0
24.03.2020,Москва,290,0,0,0,28,0
24.03.2020,Московская область,35,0,0,0,0,0
24.03.2020,Мурманская область,1,0,0,0,0,0
24.03.2020,Нижегородская область,7,0,0,0,0,0
24.03.2020,Новгородская область,1,0,0,0,0,0
24.03.2020,Новосибирская область,4,0,0,0,0,0
24.03.2020,Оренбургская область,1,0,0,0,0,0
24.03.2020,Орловская область,2,0,0,0,2,0
24.03.2020,Пензенская область,1,0,0,0,0,0
24.03.2020,Пермский край,3,0,0,0,0,0
24.03.2020,Приморский край,2,0,0,0,2,0
24.03.2020,Рязанская область,2,0,0,0,0,0
24.03.2020,Самарская область,10,0,0,0,1,0
24.03.2020,Санкт-Петербург,21,0,0,0,5,0
24.03.2020,Саратовская область,1,0,0,0,0,0
24.03.2020,Саха (Якутия),7,0,0,0,0,0
24.03.2020,Свердловская область,13,0,0,0,4,0
24.03.2020,Ставропольский край,1,0,0,0,0,0
24.03.2020,Тамбовская область,3,0,0,0,0,0
24.03.2020,Татарстан,7,0,0,0,1,0
24.03.2020,Тверская область,3,0,0,0,0,0
24.03.2020,Томская область,1,0,0,0,0,0
24.03.2020,Тульская область,5,0,0,0,0,0
24.03.2020,Тюменская область,3,0,0,0,0,0
24.03.2020,Удмуртия,2,0,0,0,0,0
24.03.2020,Ульяновская область,1,0,0,0,0,0
24.03.2020,Хабаровский край,4,0,0,0,0,0
24.03.2020,Хакасия,1,0,0,0,0,0
24.03.2020,ХМАО – Югра,2,0,0,0,0,0
24.03.2020,Челябинская область,1,0,0,0,0,0
24.03.2020,Чечня,1,0,0,0,1,0
24.03.2020,Чувашия,1,0,0,0,0,0
24.03.2020,Ярославская область,1,0,0,0,0,0
25.03.2020,Архангельская область,3,0,0,0,1,0
25.03.2020,Башкортостан,4,0,0,0,1,0
25.03.2020,Белгородская область,1,0,0,0,0,0
25.03.2020,Брянская область,2,0,0,0,1,0
25.03.2020,Волгоградская область,1,0,0,0,0,0
25.03.2020,Воронежская область,6,0,0,0,0,0
25.03.2020,Забайкальский край,1,0,0,0,0,0
25.03.2020,Ивановская область,1,0,0,0,0,0
25.03.2020,Кабардино-Балкария,4,0,0,0,2,0
25.03.2020,Калининградская область,8,0,0,0,1,0
25.03.2020,Калужская область,2,0,0,0,0,0
25.03.2020,Кемеровская область,2,0,0,0,0,0
25.03.2020,Кировская область,7,0,0,0,0,0
25.03.2020,Коми,3,0,0,0,2,0
25.03.2020,Краснодарский край,9,0,0,0,4,0
25.03.2020,Красноярский край,5,0,0,0,0,0
25.03.2020,Крым,7,0,0,0,6,0
25.03.2020,Курганская область,1,0,0,0,0,0
25.03.2020,Ленинградская область,3,0,0,0,0,0
25.03.2020,Липецкая область,5,0,0,0,0,0
25.03.2020,Москва,410,0,0,0,120,0
25.03.2020,Московская область,41,0,0,0,6,0
25.03.2020,Мурманская область,1,0,0,0,0,0
25.03.2020,Нижегородская область,8,0,0,0,1,0
25.03.2020,Новгородская область,1,0,0,0,0,0
25.03.2020,Новосибирская область,4,0,0,0,0,0
25.03.2020,Оренбургская область,4,0,0,0,3,0
25.03.2020,Орловская область,2,0,0,0,0,0
25.03.2020,Пензенская область,2,0,0,0,1,0
25.03.2020,Пермский край,5,0,0,0,2,0
25.03.2020,Приморский край,2,0,0,0,0,0
25.03.2020,Псковская область,4,0,0,0,4,0
25.03.2020,Ростовская область,1,0,0,0,1,0
25.03.2020,Рязанская область,2,0,0,0,0,0
25.03.2020,Самарская область,10,0,0,0,0,0
25.03.2020,Санкт-Петербург,21,0,0,0,0,0
25.03.2020,Саратовская область,1,0,0,0,0,0
25.03.2020,Саха (Якутия),10,0,0,0,3,0
25.03.2020,Свердловская область,13,0,0,0,0,0
25.03.2020,Ставропольский край,2,0,0,0,1,0
25.03.2020,Тамбовская область,3,0,0,0,0,0
25.03.2020,Татарстан,7,0,0,0,0,0
25.03.2020,Тверская область,3,0,0,0,0,0
25.03.2020,Томская область,1,0,0,0,0,0
25.03.2020,Тульская область,7,0,0,0,2,0
25.03.2020,Тюменская область,3,0,0,0,0,0
25.03.2020,Удмуртия,2,0,0,0,0,0
25.03.2020,Ульяновская область,1,0,0,0,0,0
25.03.2020,Хабаровский край,4,0,0,0,0,0
25.03.2020,Хакасия,1,0,0,0,0,0
25.03.2020,ХМАО – Югра,2,0,0,0,0,0
25.03.2020,Челябинская область,2,0,0,0,1,0
25.03.2020,Чечня,1,0,0,0,0,0
25.03.2020,Чувашия,1,0,0,0,0,0
25.03.2020,Ярославская область,1,0,0,0,0,0
26.03.2020,Архангельская область,3,0,0,0,0,0
26.03.2020,Башкортостан,4,0,0,0,0,0
26.03.2020,Белгородская область,1,0,0,0,0,0
26.03.2020,Брянская область,2,0,0,0,0,0
26.03.2020,Бурятия,2,0,0,0,2,0
26.03.2020,Волгоградская область,1,0,0,0,0,0
26.03.2020,Воронежская область,6,0,0,0,0,0
26.03.2020,Забайкальский край,1,0,0,0,0,0
26.03.2020,Ивановская область,1,0,0,0,0,0
26.03.2020,Кабардино-Балкария,4,0,0,0,0,0
26.03.2020,Калининградская область,8,0,0,0,0,0
26.03.2020,Калужская область,2,0,0,0,0,0
26.03.2020,Кемеровская область,3,0,0,0,1,0
26.03.2020,Кировская область,7,0,0,0,0,0
26.03.2020,Коми,3,0,0,0,0,0
26.03.2020,Краснодарский край,9,0,0,0,0,0
26.03.2020,Красноярский край,8,0,0,0,3,0
26.03.2020,Крым,7,0,0,0,0,0
26.03.2020,Курганская область,1,0,0,0,0,0
26.03.2020,Ленинградская область,3,0,0,0,0,0
26.03.2020,Липецкая область,5,0,0,0,0,0
26.03.2020,Москва,546,0,0,0,136,0
26.03.2020,Московская область,41,0,0,0,0,0
26.03.2020,Мурманская область,1,0,0,0,0,0
26.03.2020,Нижегородская область,8,0,0,0,0,0
26.03.2020,Новгородская область,1,0,0,0,0,0
26.03.2020,Новосибирская область,5,0,0,0,1,0
26.03.2020,Оренбургская область,4,0,0,0,0,0
26.03.2020,Орловская область,2,0,0,0,0,0
26.03.2020,Пензенская область,2,0,0,0,0,0
26.03.2020,Пермский край,10,0,0,0,5,0
26.03.2020,Приморский край,2,0,0,0,0,0
26.03.2020,Псковская область,6,0,0,0,2,0
26.03.2020,Ростовская область,1,0,0,0,0,0
26.03.2020,Рязанская область,2,0,0,0,0,0
26.03.2020,Самарская область,12,0,0,0,2,0
26.03.2020,Санкт-Петербург,26,0,0,0,5,0
26.03.2020,Саратовская область,1,0,0,0,0,0
26.03.2020,Саха (Якутия),14,0,0,0,4,0
26.03.2020,Свердловская область,20,0,0,0,7,0
26.03.2020,Ставропольский край,5,0,0,0,3,0
26.03.2020,Тамбовская область,3,0,0,0,0,0
26.03.2020,Татарстан,10,0,0,0,3,0
26.03.2020,Тверская область,3,0,0,0,0,0
26.03.2020,Томская область,2,0,0,0,1,0
26.03.2020,Тульская область,7,0,0,0,0,0
26.03.2020,Тюменская область,3,0,0,0,0,0
26.03.2020,Удмуртия,2,0,0,0,0,0
26.03.2020,Ульяновская область,1,0,0,0,0,0
26.03.2020,Хабаровский край,5,0,0,0,1,0
26.03.2020,Хакасия,2,0,0,0,1,0
26.03.2020,ХМАО – Югра,4,0,0,0,2,0
26.03.2020,Челябинская область,5,0,0,0,3,0
26.03.2020,Чечня,1,0,0,0,0,0
26.03.2020,Чувашия,1,0,0,0,0,0
